metric,reference_42f,ablation_25f,normalized_18f,difference_18f_vs_42f,difference_18f_vs_25f
Validation Accuracy,0.5086972844450006,0.5915404830434239,0.5856588662245026,0.07696158177950196,-0.005881616818921298
Validation Balanced Accuracy,0.40638999294792416,0.38903459621753894,0.36038206936585954,-0.046007923582064625,-0.028652526851679405
Validation Macro F1,0.36408925785314034,0.3720994583661921,0.3225147867269132,-0.04157447112622714,-0.04958467163927893
BUY Recall,0.042278332354668234,0.1638285378743394,0.08690546095126248,0.04462712859659424,-0.07692307692307693
SELL Recall,0.4955357142857143,0.09119897959183673,0.05102040816326531,-0.444515306122449,-0.040178571428571425
NO_TRADE Recall,0.6813559322033899,0.9120762711864406,0.9432203389830508,0.26186440677966094,0.031144067796610164
BUY Prediction %,2.590414215992992,9.74846702540358,5.4185959204104615,2.8281817044174695,-4.329871104993118
SELL Prediction %,37.98022775622575,6.0192716806407205,3.716681266424728,-34.26354648980102,-2.3025904142159925
NO_TRADE Prediction %,59.429358027781255,84.2322612939557,90.8647228131648,31.43536478538355,6.632461519209102
TRAIN-VALIDATION Accuracy Gap,0.23091921791188297,0.11309124519885538,0.0840576124940201,-0.14686160541786286,-0.029033632704835277
TRAIN-VALIDATION Balanced Accuracy Gap,0.19867241136173158,0.16167795679410818,0.12337846600449609,-0.07529394535723549,-0.03829949078961209
TRAIN-VALIDATION Macro F1 Gap,0.2857063034230794,0.21390208740836908,0.18101259508428952,-0.10469370833878988,-0.03288949232407956
CV Mean Accuracy,0.5380443851159686,0.5712164191556817,0.5610545636576005,0.023010178541631898,-0.01016185549808113
CV Mean Macro F1,0.3860620848072621,0.39133585446055386,0.352504511973511,-0.033557572833751104,-0.03883134248704284
