metric,baseline,ablation_25f,difference
Validation Accuracy,0.5086972844450006,0.5915404830434239,0.08284319859842326
Validation Balanced Accuracy,0.40638999294792416,0.38903459621753894,-0.01735539673038522
Validation Macro F1,0.36408925785314034,0.3720994583661921,0.00801020051305179
BUY Recall,0.042278332354668234,0.1638285378743394,0.12155020551967116
SELL Recall,0.4955357142857143,0.09119897959183673,-0.40433673469387754
BUY Prediction %,2.590414215992992,9.74846702540358,7.158052809410588
SELL Prediction %,37.98022775622575,6.0192716806407205,-31.96095607558503
NO_TRADE Prediction %,59.429358027781255,84.2322612939557,24.802903266174447
CV Mean Accuracy,0.5380443851159686,0.5712164191556817,0.03317203403971303
CV Mean Macro F1,0.3860620848072621,0.39133585446055386,0.005273769653291738
TRAIN-VALIDATION Accuracy Gap,0.23091921791188297,0.11309124519885538,-0.11782797271302758
TRAIN-VALIDATION Balanced Accuracy Gap,0.19867241136173158,0.16167795679410818,-0.0369944545676234
TRAIN-VALIDATION Macro F1 Gap,0.2857063034230794,0.21390208740836908,-0.07180421601471032
