rank,feature,importance
1,is_asia_session,0.64638346
2,hour_of_day,0.08976088
3,is_new_york_session,0.023855256
4,is_london_session,0.02219711
5,volume_ratio,0.014997406
6,day_of_week,0.014453632
7,price_to_sma_200,0.012876179
8,volatility_20,0.012483704
9,price_to_sma_50,0.012281303
10,atr_pct,0.0122198
11,price_to_sma_20,0.012218858
12,bb_width,0.011991073
13,rsi,0.011399485
14,price_to_sma_10,0.011271176
15,volatility_5,0.011162327
16,returns_10,0.011052571
17,bb_pct,0.010695745
18,returns_5,0.010444315
19,high_low_ratio,0.010370771
20,close_open_ratio,0.010262418
21,returns_2,0.00975656
22,log_returns,0.00898528
23,returns,0.008880638
24,is_weekend,0.0
25,is_market_open,0.0
