feature,family,mutual_information,buy_vs_sell_smd,buy_vs_sell_auc,buy_vs_sell_separability_auc,buy_vs_no_trade_smd,buy_vs_no_trade_auc,buy_vs_no_trade_separability_auc
hour_of_day,session_time,0.08520365319772569,0.03740598377307744,0.5108346076345518,0.5108346076345518,0.4106871809961686,0.613385609695789,0.613385609695789
sma_200,price_level_or_scale_dependent,0.05782424775408468,-0.013023232565571051,0.4941531691765563,0.5058468308234437,-0.048339731516306765,0.48437136237504286,0.5156286376249571
is_asia_session,session_time,0.05271240863077084,-0.030362616008863766,0.4947878861274044,0.5052121138725956,-0.7037586058987622,0.35089305476905086,0.6491069452309491
volume_ratio,normalized_relative,0.049906257421594935,0.007276744758288199,0.5052818429515216,0.5052818429515216,0.5499058972112189,0.6740653267427688,0.6740653267427688
bb_upper,price_level_or_scale_dependent,0.043597305616297044,-0.010909138328107882,0.49515952690908444,0.5048404730909155,-0.04941329221473449,0.48396056942541876,0.5160394305745812
bb_lower,price_level_or_scale_dependent,0.04212763420693144,-0.011522396888445648,0.4949372520470836,0.5050627479529164,-0.04749844917561928,0.4846074627263453,0.5153925372736547
sma_50,price_level_or_scale_dependent,0.03760194471744693,-0.011631647505343765,0.4948135463758532,0.5051864536241468,-0.04773935671556022,0.48458354100682083,0.5154164589931791
sma_20,price_level_or_scale_dependent,0.03369849777509293,-0.0112186757729492,0.49487818241375126,0.5051218175862487,-0.048468897812544494,0.4842245035241329,0.5157754964758672
ema_26,price_level_or_scale_dependent,0.03271373804693756,-0.011439558119602728,0.49477575618674635,0.5052242438132537,-0.04853820245194752,0.48419851186305213,0.5158014881369479
ema_12,price_level_or_scale_dependent,0.03213192316483471,-0.011499726679699594,0.49479042607342466,0.5052095739265754,-0.049156372558559175,0.4839472599090531,0.5160527400909469
is_new_york_session,session_time,0.028704235340133027,0.00876997673322585,0.5021911494123575,0.5021911494123575,0.49942157428761663,0.6168370159287138,0.6168370159287138
is_london_session,session_time,0.025378627922628877,-0.01194764631945535,0.4970164049612794,0.5029835950387206,0.45811286163644205,0.607558909732269,0.607558909732269
obv,price_level_or_scale_dependent,0.02389367793495567,-6.897893176720223e-05,0.4982434991243103,0.5017565008756897,-0.04542989826463866,0.48472805895320414,0.5152719410467959
sma_10,price_level_or_scale_dependent,0.02345103795724901,-0.011522863214158074,0.494810500193827,0.505189499806173,-0.04919206178040866,0.4839475362604918,0.5160524637395082
lower_shadow,price_level_or_scale_dependent,0.016226623509410842,-0.002664368345705374,0.5018099142530441,0.5018099142530441,0.17624533563871356,0.5629507546955339,0.5629507546955339
high_low_ratio,normalized_relative,0.01571715462695611,-0.0012028859579956003,0.5056391096987346,0.5056391096987346,0.23683844129181064,0.603394147292518,0.603394147292518
log_returns,normalized_relative,0.015098443803441164,-0.0027978154821024634,0.49853766169062974,0.5014623383093703,-0.027689122072758657,0.4902258298847945,0.5097741701152054
returns,normalized_relative,0.014548856576246827,-0.0028055225009312123,0.49853766169062974,0.5014623383093703,-0.027468104377269084,0.4902258298847945,0.5097741701152054
upper_shadow,price_level_or_scale_dependent,0.0103771466025675,0.011531457626639265,0.5093602752573909,0.5093602752573909,0.16833691415295135,0.5630765099957693,0.5630765099957693
returns_2,normalized_relative,0.008572600414704645,-0.0036341976989123343,0.4967000008831737,0.5032999991168263,-0.04542706711359558,0.4848072078527249,0.5151927921472751
volatility_5,normalized_relative,0.008553025236674117,0.0005964268307005733,0.5054107096002136,0.5054107096002136,0.14111391769922643,0.5648756202140328,0.5648756202140328
bb_pct,normalized_relative,0.008343624737804367,-0.03575111692256229,0.4893960781962377,0.5106039218037624,-0.0840024286016127,0.4768106756799296,0.5231893243200705
atr_pct,normalized_relative,0.007433517311750126,0.012754161496340843,0.5040822192141723,0.5040822192141723,-0.05078488133798556,0.4770913640657287,0.5229086359342713
volatility_20,normalized_relative,0.007191884531118964,0.01909571766785699,0.5040055606190114,0.5040055606190114,-0.040111351168091496,0.48537199937357667,0.5146280006264233
returns_10,normalized_relative,0.00682749680140704,-0.017529310711772016,0.49090703707714145,0.5090929629228585,-0.07146944563267286,0.4769497297195944,0.5230502702804056
close_open_ratio,normalized_relative,0.0066645619678047385,-0.0027586871880694876,0.4981064866780708,0.5018935133219292,-0.028161459739417843,0.49076987580321413,0.5092301241967858
body_size,price_level_or_scale_dependent,0.006207055471675993,-0.006007708053876178,0.5024474034486857,0.5024474034486857,0.17428268172203756,0.5683088111152188,0.5683088111152188
price_to_sma_50,normalized_relative,0.005115071672355143,-0.0015168741514273896,0.4923122057818244,0.5076877942181757,-0.06895805963794104,0.47383751524110895,0.526162484758891
atr,price_level_or_scale_dependent,0.005071915559479834,0.00827057203467453,0.5038143348986983,0.5038143348986983,-0.06470240218540298,0.4731276730853068,0.5268723269146932
returns_5,normalized_relative,0.004690880667326036,-0.011381987038888682,0.4927022332305543,0.5072977667694457,-0.06285258640518773,0.4789964146472255,0.5210035853527746
rsi,normalized_relative,0.0044857712175363496,-0.02581635875527723,0.4909853590191785,0.5090146409808215,-0.08914079899358614,0.4739989452797163,0.5260010547202837
macd_signal,price_level_or_scale_dependent,0.004332731021962077,0.005427015747548068,0.4962099907275534,0.5037900092724465,-0.04515878423057993,0.4829129496031799,0.5170870503968201
price_to_sma_20,normalized_relative,0.0041505679966413744,-0.02226040479320536,0.489183432775836,0.510816567224164,-0.08048252212039657,0.47270054999802036,0.5272994500019796
price_to_sma_200,normalized_relative,0.00396143571220664,0.02070627742241024,0.5063603645170986,0.5063603645170986,-0.02581665775348804,0.4919077501578602,0.5080922498421399
price_to_sma_10,normalized_relative,0.0034468419456308297,-0.012429263573124589,0.49169216529214826,0.5083078347078518,-0.06975489227258944,0.47697320265669896,0.523026797343301
macd,price_level_or_scale_dependent,0.0033106898751100733,-0.006586626504997574,0.4928808556466715,0.5071191443533285,-0.06157684889567301,0.47739470865081474,0.5226052913491852
