feature,importance_mean,importance_std,importance_min,importance_max,rank_mean,rank_std,rank_min,rank_max,fold_1_importance,fold_1_rank,fold_2_importance,fold_2_rank,fold_3_importance,fold_3_rank,fold_4_importance,fold_4_rank,fold_5_importance,fold_5_rank
is_asia_session,0.31167630255222323,0.11268733545993585,0.15496797859668732,0.43252143263816833,1.0,0.0,1,1,0.15496797859668732,1,0.2589273750782013,1,0.3063628375530243,1,0.4056018888950348,1,0.43252143263816833,1
hour_of_day,0.08582789301872254,0.013920361338080618,0.06285229325294495,0.09801232814788818,2.0,0.0,2,2,0.06285229325294495,2,0.08314120024442673,2,0.09316788613796234,2,0.09196575731039047,2,0.09801232814788818,2
is_london_session,0.023724835366010666,0.0010947480012239393,0.02270679734647274,0.025575153529644012,5.2,3.898717737923586,3,12,0.023274213075637817,12,0.02270679734647274,5,0.02370418608188629,3,0.023363826796412468,3,0.025575153529644012,3
is_new_york_session,0.02308546006679535,0.0035452434621253736,0.02097737230360508,0.029388945549726486,4.8,1.6431676725154984,3,7,0.029388945549726486,3,0.022057127207517624,7,0.02097737230360508,6,0.02139142155647278,4,0.021612433716654778,4
ema_26,0.021137378364801406,0.004748273754666915,0.016017472371459007,0.028030628338456154,4.4,0.5477225575051661,4,5,0.028030628338456154,4,0.0227549709379673,4,0.02145291119813919,4,0.017430908977985382,5,0.016017472371459007,5
ema_12,0.020497659780085088,0.004402816370528781,0.01552788820117712,0.026413578540086746,5.6,0.5477225575051662,5,6,0.026413578540086746,5,0.02264813520014286,6,0.021001586690545082,5,0.016897110268473625,6,0.01552788820117712,6
sma_200,0.019701623544096946,0.004710128568997889,0.014558399096131325,0.025993209332227707,7.2,3.03315017762062,3,11,0.025993209332227707,6,0.02278776280581951,3,0.01903604157269001,9,0.01613270491361618,7,0.014558399096131325,11
sma_20,0.019550996646285058,0.0044785985164422035,0.014622721821069717,0.025716517120599747,8.6,1.5165750888103102,7,10,0.025716517120599747,7,0.021370146423578262,9,0.020253242924809456,7,0.015792354941368103,10,0.014622721821069717,10
sma_50,0.019503184594213963,0.004132378054821041,0.015019654296338558,0.0251296516507864,8.2,0.8366600265340753,7,9,0.0251296516507864,9,0.021524380892515182,8,0.019851909950375557,8,0.015990326181054115,9,0.015019654296338558,7
day_of_week,0.019195762649178504,0.004127564163700057,0.014828898012638092,0.025198310613632202,9.0,1.0,8,10,0.025198310613632202,8,0.020996693521738052,10,0.01887361891567707,10,0.016081292182207108,8,0.014828898012638092,9
sma_10,0.01828916873782873,0.0040007416665913675,0.013991306535899639,0.024314435198903084,11.4,1.1401754250991378,10,13,0.024314435198903084,10,0.01924210600554943,13,0.018489789217710495,11,0.015408206731081009,11,0.013991306535899639,12
obv,0.0179689459502697,0.003642235858528649,0.013974668458104134,0.022626332938671112,12.2,0.8366600265340757,11,13,0.022626332938671112,13,0.020424922928214073,11,0.01791303977370262,12,0.014905765652656555,12,0.013974668458104134,13
