dimension,regime,split,row_count,sell_pct,buy_pct,no_trade_pct,close_mean,close_median,contemporaneous_return_mean,contemporaneous_return_median,atr_pct_mean
price_quantile_train_edges,Q1,train,14384,20.988598442714128,23.658231368186875,55.353170189098996,31706.38886957731,31949.1,-1.275209414864585e-05,0.0,0.0016722113888523677
price_quantile_train_edges,Q2,train,14385,20.987139381299965,20.86200903719152,58.15085158150852,33640.52513381995,33678.5,8.624441447504769e-06,0.0,0.0010490707983800557
price_quantile_train_edges,Q3,train,14381,19.70655726305542,22.18204575481538,58.1113969821292,36076.903175022606,35420.1,1.0174303459150243e-05,1.3158241006339111e-05,0.0009191557963648063
price_quantile_train_edges,Q4,train,14384,19.841490545050057,20.821746384872082,59.336763070077865,39663.094689933256,39422.995,6.966584761445549e-06,1.2777684914699883e-05,0.0010584453582989394
price_quantile_train_edges,Q5,train,14383,20.294792463324757,20.78843078634499,58.91677675033025,43040.8319383995,42751.0,8.683282156814963e-06,5.761013790905878e-06,0.0010236016493953182
price_quantile_train_edges,Q5,validation,7991,19.622074834188464,21.311475409836067,59.06644975597547,44513.51907145538,44606.9,1.2022884596777506e-05,1.089785225127926e-05,0.0008778211918282658
atr_pct_train_tertiles,low,train,23973,22.19580361239728,23.217786676677928,54.58640971092479,37944.46598298085,38320.38,1.1405532303765226e-06,0.0,0.0005189609222977934
atr_pct_train_tertiles,medium,train,23972,19.37677290171867,20.340397129984982,60.28282996829635,36985.12667195061,35327.35,8.844178924872748e-06,1.4213227020443142e-05,0.0009708694176667802
atr_pct_train_tertiles,high,train,23972,19.518605039212414,21.429167361922243,59.05222759886534,35546.70850617387,33686.4,3.0325792059698958e-06,1.9908863438611313e-05,0.0019437160122619552
atr_pct_train_tertiles,low,validation,3439,23.088107007851118,23.52428031404478,53.3876126781041,44847.74079674324,44864.8,3.1074029393194465e-06,0.0,0.0005522099650056067
atr_pct_train_tertiles,medium,validation,3294,17.60777170613236,20.218579234972676,62.17364905889496,44390.495780206445,44513.75,1.955907775504931e-05,1.1181907436874639e-05,0.0009636799721070284
atr_pct_train_tertiles,high,validation,1258,15.421303656597773,18.124006359300477,66.45468998410175,43921.98505564388,44107.55,1.6662090603654242e-05,2.2786679918507247e-05,0.0015431297663949439
year,2022,train,14975,21.642737896494157,22.18363939899833,56.173622704507515,32033.098874791318,32118.7,2.917372547366889e-06,1.4814946503127757e-05,0.0016213725136160573
year,2023,train,23496,20.131086142322097,21.999489274770173,57.869424582907726,34111.670173646584,33913.55,5.723992398929935e-06,0.0,0.0009539264970540992
year,2024,train,23684,19.7095085289647,21.22107752068907,59.069413950346224,40309.88214786354,39505.005000000005,5.337702244138974e-06,6.560113829379155e-06,0.000868085996795732
year,2025,train,9762,20.549067813972545,21.122720753943863,58.32821143208359,42254.981464863755,42314.08500000001,7.637173993148796e-07,7.29040090552413e-06,0.0015423307726083752
year,2025,validation,7991,19.622074834188464,21.311475409836067,59.06644975597547,44513.51907145538,44606.9,1.2022884596777506e-05,1.089785225127926e-05,0.0008778211918282658
