dimension,group,split,row_count,sell_pct,buy_pct,no_trade_pct,validation_minus_train_sell_pct_pp,validation_minus_train_buy_pct_pp,validation_minus_train_no_trade_pct_pp
overall,all,train,71917,20.3637526593156,21.662472016352183,57.973775324332216,-0.7416778251271374,-0.35099660651611586,1.0926744316432533
overall,all,validation,7991,19.622074834188464,21.311475409836067,59.06644975597547,-0.7416778251271374,-0.35099660651611586,1.0926744316432533
year,2022,train,14975,21.642737896494157,22.18363939899833,56.173622704507515,,,
year,2023,train,23496,20.131086142322097,21.999489274770173,57.869424582907726,,,
year,2024,train,23684,19.7095085289647,21.22107752068907,59.069413950346224,,,
year,2025,train,9762,20.549067813972545,21.122720753943863,58.32821143208359,-0.9269929797840817,0.18875465589220397,0.7382383238918777
year,2025,validation,7991,19.622074834188464,21.311475409836067,59.06644975597547,-0.9269929797840817,0.18875465589220397,0.7382383238918777
year_month,2022-05,train,1072,22.01492537313433,24.53358208955224,53.451492537313435,,,
year_month,2022-06,train,2007,23.966118584952664,20.229197807673145,55.80468360737419,,,
year_month,2022-07,train,1916,19.88517745302714,23.173277661795407,56.94154488517745,,,
year_month,2022-08,train,2116,23.062381852551987,21.597353497164463,55.34026465028355,,,
year_month,2022-09,train,2008,23.207171314741036,21.264940239043824,55.52788844621514,,,
year_month,2022-10,train,1932,20.28985507246377,25.15527950310559,54.554865424430645,,,
year_month,2022-11,train,1993,19.11690918213748,22.02709483191169,58.85599598595083,,,
year_month,2022-12,train,1931,21.54324184360435,20.714655618850337,57.742102537545314,,,
year_month,2023-01,train,1916,20.45929018789144,20.615866388308977,58.92484342379958,,,
year_month,2023-02,train,1824,22.42324561403509,18.42105263157895,59.155701754385966,,,
year_month,2023-03,train,2115,19.66903073286052,24.58628841607565,55.744680851063826,,,
year_month,2023-04,train,1747,18.37435603892387,22.38122495706926,59.24441900400687,,,
year_month,2023-05,train,2100,21.714285714285715,19.142857142857142,59.142857142857146,,,
year_month,2023-06,train,2008,19.621513944223107,22.211155378486055,58.167330677290835,,,
year_month,2023-07,train,1901,19.98947922146239,21.88321935823251,58.1273014203051,,,
year_month,2023-08,train,2112,21.685606060606062,21.401515151515152,56.91287878787879,,,
year_month,2023-09,train,1916,22.964509394572026,20.668058455114824,56.36743215031315,,,
year_month,2023-10,train,2024,22.035573122529645,22.529644268774703,55.43478260869565,,,
year_month,2023-11,train,1993,15.504264927245359,25.99096838936277,58.50476668339187,,,
year_month,2023-12,train,1840,16.793478260869566,23.967391304347824,59.23913043478261,,,
year_month,2024-01,train,2008,20.46812749003984,21.264940239043824,58.266932270916335,,,
year_month,2024-02,train,1915,18.433420365535248,21.98433420365535,59.5822454308094,,,
year_month,2024-03,train,1843,19.913185024416713,22.409115572436246,57.677699403147045,,,
year_month,2024-04,train,2025,20.839506172839506,19.65432098765432,59.50617283950617,,,
