split,feature,comparison,left_count,right_count,ks_statistic,ks_pvalue,absolute_median_iqr_effect
train,returns,BUY_vs_NO_TRADE,15579,41693,0.06227915295873082,1.104108807636208e-38,0.023206811420656753
train,returns,SELL_vs_NO_TRADE,14645,41693,0.056987117224877315,4.915127662602428e-31,0.023448141217100878
train,returns,BUY_vs_SELL,15579,14645,0.008627686012092128,0.6246003840186939,0.0
train,returns_2,BUY_vs_NO_TRADE,15579,41693,0.06998663923160434,9.531922463454771e-49,0.03515471070064113
train,returns_2,SELL_vs_NO_TRADE,14645,41693,0.059822415381311,3.700742082649044e-34,0.025563527532950065
train,returns_2,BUY_vs_SELL,15579,14645,0.011522014768460265,0.26679116650013,0.008034902729768404
train,returns_5,BUY_vs_NO_TRADE,15579,41693,0.06545025107775254,1.1090957339198295e-42,0.04283439048733086
train,returns_5,SELL_vs_NO_TRADE,14645,41693,0.054619254069461554,1.5254137524604013e-28,0.02258750748182967
train,returns_5,BUY_vs_SELL,15579,14645,0.015786104198579065,0.04596269141160836,0.017216464284495196
train,returns_10,BUY_vs_NO_TRADE,15579,41693,0.04849624426925059,1.2813431401926166e-23,0.048245406577159096
train,returns_10,SELL_vs_NO_TRADE,14645,41693,0.03679966156233913,3.4556335145004454e-13,0.025099017461222173
train,returns_10,BUY_vs_SELL,15579,14645,0.020328562069936384,0.0038485791788131656,0.021299497935706332
train,log_returns,BUY_vs_NO_TRADE,15579,41693,0.06227915295873082,1.104108807636208e-38,0.023206989297206874
train,log_returns,SELL_vs_NO_TRADE,14645,41693,0.056987117224877315,4.915127662602428e-31,0.02344831159336324
train,log_returns,BUY_vs_SELL,15579,14645,0.008627686012092128,0.6246003840186939,0.0
train,high_low_ratio,BUY_vs_NO_TRADE,15579,41693,0.15693181158496852,2.072006220422717e-244,0.2747713996401898
train,high_low_ratio,SELL_vs_NO_TRADE,14645,41693,0.14168885728541858,2.649180672928067e-190,0.2536862675749735
train,high_low_ratio,BUY_vs_SELL,15579,14645,0.018430391815053515,0.01170363511405687,0.01795334745960118
train,close_open_ratio,BUY_vs_NO_TRADE,15579,41693,0.06153579530072831,8.941341730171182e-38,0.02315893768761517
train,close_open_ratio,SELL_vs_NO_TRADE,14645,41693,0.0564895984031025,1.6745647234186986e-30,0.02346810797007942
