feature,importance
is_asia_session,0.39997116
hour_of_day,0.11008982
is_london_session,0.029323643
is_new_york_session,0.025310412
day_of_week,0.016274225
ema_26,0.01607798
volume_ratio,0.015547172
ema_12,0.015239162
sma_20,0.015153652
sma_50,0.015109601
sma_200,0.014897631
obv,0.014377124
sma_10,0.013773048
bb_lower,0.013657967
price_to_sma_200,0.01309976
atr_pct,0.012765211
bb_upper,0.01254889
atr,0.012537561
volume_sma,0.012492332
volatility_20,0.0124505265
bb_width,0.012331372
price_to_sma_20,0.012264224
price_to_sma_50,0.012163801
macd_signal,0.012162248
macd,0.0121182855
macd_hist,0.01184197
price_to_sma_10,0.011466322
rsi,0.011250269
volatility_5,0.0110669695
bb_pct,0.010742122
returns_10,0.010594423
returns_5,0.010291696
high_low_ratio,0.00975664
close_open_ratio,0.009534668
returns_2,0.009234535
body_size,0.008898909
lower_shadow,0.0088298125
upper_shadow,0.008706396
log_returns,0.008071775
returns,0.007976709
is_weekend,0.0
is_market_open,0.0
