treatment,fold,direction_auc,balanced_accuracy,buy_recall,sell_recall,directional_macro_f1,activity_auc,scaler_fit_rows,source
m15_h1,1,0.5115990490869667,0.5018466391494031,0.2796833773087071,0.724009900990099,0.47940517726967563,0.7285518243541116,11917,
m15_h1,2,0.5093330965001668,0.49931832558951206,0.28314028314028317,0.715496368038741,0.4779635258358663,0.7441553342937332,23831,
m15_h1,3,0.5118264967910001,0.5181030724201032,0.242274412855377,0.7939317319848294,0.4768633372883184,0.7526735808124878,35745,
m15_h1,4,0.5111892884418517,0.5058708828260834,0.29781771501925547,0.7139240506329114,0.4842364802254866,0.7597421156216336,47659,
m15_h1,5,0.5267890953311885,0.517370657143297,0.45629820051413883,0.578443113772455,0.5164840052835458,0.7594931315090904,59573,
m1_h1,1,0.5158882807805847,0.5040018678648868,0.24934036939313983,0.7586633663366337,0.4735393253482826,0.7313870968458561,11917,
m1_h1,2,0.5255514940744965,0.5172545426782715,0.296010296010296,0.738498789346247,0.495676867436992,0.7444549676610743,23831,
m1_h1,3,0.5104958596322348,0.5095754306404404,0.32509270704573545,0.6940581542351454,0.49124446575019654,0.7643269766821796,35745,
m1_h1,4,0.48669504882923587,0.5011277034822313,0.25288831835686776,0.7493670886075949,0.46922804692297815,0.7644353611739783,47659,
m1_h1,5,0.5123039268506688,0.5019310992411065,0.4074550128534704,0.5964071856287425,0.49896068832794604,0.7609554998392165,59573,
m15_h2,1,0.511738688123326,0.5153443385136635,0.3778857837181045,0.6528028933092225,0.5062790695937371,0.7305411262373606,11916,
m15_h2,2,0.5134354129337025,0.5040765597002769,0.3251428571428571,0.6830102622576967,0.4877751291303296,0.7479131162862939,23828,
m15_h2,3,0.5137272849289404,0.5017495084426106,0.14714204867006225,0.8563569682151589,0.42326119070746315,0.7561915134575836,35740,
m15_h2,4,0.5056193664274128,0.4970286986567246,0.24761336515513127,0.7464440321583179,0.46140486277949044,0.76338324777493,47652,
m15_h2,5,0.5176644251271117,0.5116132934229949,0.42678571428571427,0.5964408725602756,0.508801006341329,0.7496809599632119,59564,
m1_h2,1,0.5187328295822997,0.5048353654026017,0.3110571081409477,0.6986136226642555,0.48589526538172134,0.7348555084899935,11916,
