feature,family,maximum_source_timestamp_field,causality_rule
m1_block_return,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_direction_imbalance,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_bullish_fraction,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_return_mean,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_return_std,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_return_skew,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_range_expansion,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_wick_imbalance,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_range_position,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_realized_volatility,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_volatility_acceleration,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_max_bull_run,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_max_bear_run,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_momentum_5,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_reversal_structure,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_distance_from_open,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_distance_from_high,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_distance_from_low,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_new_high_fraction,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_new_low_fraction,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_trend_slope,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_return_autocorrelation,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_range_atr_ratio,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_tick_volume_mean,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_tick_volume_change,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_signed_tick_volume_imbalance,m1_price_or_tick_volume,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_spread_mean,historical_m1_spread,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_spread_std,historical_m1_spread,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_spread_max,historical_m1_spread,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_spread_last,historical_m1_spread,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
m1_spread_change,historical_m1_spread,maximum_source_timestamp,completed M1 bar close <= prediction_timestamp
